epoch,train_loss,val_loss,lr,time,task_loss,kd_loss,ewc_loss
0,0.03818467807874477,0.0003970101258945929,0.0001,99.46913766860962,0.03818467807874477,0.0,0.0
1,0.007280924109145629,0.0012389564303340076,0.0001,99.48736953735352,0.007280924109145629,0.0,0.0
2,0.005333600775865999,0.00041007148688786013,0.0001,107.36745262145996,0.005333600775865999,0.0,0.0
3,0.004311371187158378,0.0005268282784545661,0.0001,111.19846630096436,0.004311371187158378,0.0,0.0
4,0.003407839121486143,0.00040077068350195013,0.0001,119.9115936756134,0.003407839121486143,0.0,0.0
5,0.0026545887266109696,0.00042909423385376956,0.0001,120.46773171424866,0.0026545887266109696,0.0,0.0
6,0.0020627920561030817,0.00041929177719310866,0.0001,115.60299110412598,0.0020627920561030817,0.0,0.0
7,0.0016436603435508604,0.0004102736913216568,5e-05,115.68221473693848,0.0016436603435508604,0.0,0.0
8,0.0013989139179342116,0.0004046503159101252,5e-05,118.1654372215271,0.0013989139179342116,0.0,0.0
9,0.001184722876092463,0.0005282072388788478,5e-05,151.12647604942322,0.001184722876092463,0.0,0.0
10,0.0010242427082886843,0.00041433029176429905,5e-05,117.3634033203125,0.0010242427082886843,0.0,0.0
11,0.0008846262044769647,0.00048046167938869234,5e-05,115.87487196922302,0.0008846262044769647,0.0,0.0
12,0.0007667039971130884,0.00044363587621707254,5e-05,113.85209965705872,0.0007667039971130884,0.0,0.0
13,0.0006891583071259829,0.0004542853363688027,2.5e-05,113.19851803779602,0.0006891583071259829,0.0,0.0
14,0.000654406217703663,0.00040813306020610635,2.5e-05,128.01459574699402,0.000654406217703663,0.0,0.0
15,0.0006188668216822775,0.0004555241123167257,2.5e-05,110.39635968208313,0.0006188668216822775,0.0,0.0
16,0.0005877141108824819,0.00044892500457322583,2.5e-05,108.02937030792236,0.0005877141108824819,0.0,0.0
17,0.000561823247066332,0.0004486276706568817,2.5e-05,105.24895548820496,0.000561823247066332,0.0,0.0
18,0.0005366184929490057,0.00043633580763982084,2.5e-05,106.64849638938904,0.0005366184929490057,0.0,0.0
19,0.0005090160357030701,0.0004379362108739191,1.25e-05,108.3702163696289,0.0005090160357030701,0.0,0.0
20,0.0004967156267850023,0.0003943999852629225,1.25e-05,105.34061288833618,0.0004967156267850023,0.0,0.0
21,0.0004816264357547705,0.0003873119882402468,1.25e-05,103.95054149627686,0.0004816264357547705,0.0,0.0
22,0.000468231327968002,0.00041554317623527154,1.25e-05,101.70463347434998,0.000468231327968002,0.0,0.0
23,0.0004017161433108236,0.0010952019031173453,1.25e-05,99.02698397636414,0.0004017161433108236,0.0,0.0
24,0.000325002843945025,0.0006676312415640283,1.25e-05,99.30577993392944,0.000325002843945025,0.0,0.0
25,0.00029480626091623154,0.0006916177418093711,1.25e-05,96.10304427146912,0.00029480626091623154,0.0,0.0
26,0.00027917231814301194,0.000658007700085666,1.25e-05,95.99242234230042,0.00027917231814301194,0.0,0.0
27,0.0002603601846026312,0.0005124749772630841,1.25e-05,95.40255117416382,0.0002603601846026312,0.0,0.0
28,0.00023754809673778095,0.0004948414148361047,6.25e-06,87.64323282241821,0.00023754809673778095,0.0,0.0
29,0.00022857603637696963,0.000490194300177035,6.25e-06,85.88786458969116,0.00022857603637696963,0.0,0.0
30,0.00021826316727309585,0.00047769088147987554,6.25e-06,86.85337162017822,0.00021826316727309585,0.0,0.0
31,0.00021277475531400984,0.0004625537066000752,6.25e-06,85.98770642280579,0.00021277475531400984,0.0,0.0
32,0.0002077970651153108,0.0005245339263984506,6.25e-06,95.41500329971313,0.0002077970651153108,0.0,0.0
33,0.0002020600206517128,0.0006008817627888228,6.25e-06,94.82359743118286,0.0002020600206517128,0.0,0.0
34,0.00019537678419290295,0.0005939909784737013,3.125e-06,95.09686923027039,0.00019537678419290295,0.0,0.0
35,0.00019294580931008095,0.0005476201708730676,3.125e-06,95.141282081604,0.00019294580931008095,0.0,0.0
36,0.00019008814803693299,0.0006501156487066225,3.125e-06,96.07402992248535,0.00019008814803693299,0.0,0.0
37,0.00018771690919411625,0.0006860612632219289,3.125e-06,96.07348012924194,0.00018771690919411625,0.0,0.0
38,0.00018481253299823134,0.0006570987686259005,3.125e-06,96.51993680000305,0.00018481253299823134,0.0,0.0
39,0.0001822203757517129,0.0006409453313525323,3.125e-06,97.44169449806213,0.0001822203757517129,0.0,0.0
40,0.00017912686287154954,0.0006657320924782542,1.5625e-06,96.3791618347168,0.00017912686287154954,0.0,0.0
41,0.00017878762863027644,0.0006486123551410188,1.5625e-06,97.10637831687927,0.00017878762863027644,0.0,0.0
